date,index,close_gt_sma50,close_gt_sma200
2020-09-07,24589.650391,42.0,32.0
2020-09-08,24624.339844,42.0,32.0
2020-09-09,24468.929688,38.0,32.0
2020-09-10,24313.539063,30.0,32.0
2020-09-11,24503.310547,32.0,32.0
2020-09-14,24640.279297,34.0,34.0
2020-09-15,24732.759766,34.0,36.0
2020-09-16,24725.630859,42.0,36.0
2020-09-17,24340.849609,34.0,32.0
2020-09-18,24455.410156,38.0,36.0
2020-09-21,23950.689453,26.0,34.0
2020-09-22,23716.849609,24.0,28.000000000000004
2020-09-23,23742.509766,24.0,28.000000000000004
2020-09-24,23311.070313,20.0,28.000000000000004
2020-09-25,23235.419922,16.0,28.000000000000004
2020-09-28,23476.050781,16.0,26.0
2020-09-29,23275.529297,14.000000000000002,26.0
2020-09-30,23459.050781,20.0,28.000000000000004
2020-10-05,23767.779297,24.0,28.000000000000004
2020-10-06,23980.650391,30.0,30.0
2020-10-07,24242.859375,34.0,36.0
2020-10-08,24193.349609,28.000000000000004,34.0
2020-10-09,24119.130859,22.0,32.0
2020-10-12,24649.679688,34.0,34.0
2020-10-14,24667.089844,32.0,34.0
2020-10-15,24158.539063,26.0,32.0
2020-10-16,24386.789063,32.0,32.0
2020-10-19,24542.259766,32.0,32.0
2020-10-20,24569.539063,34.0,34.0
2020-10-21,24754.419922,30.0,32.0
2020-10-22,24786.130859,32.0,32.0
2020-10-23,24918.779297,42.0,36.0
2020-10-27,24787.189453,32.0,32.0
2020-10-28,24708.800781,30.0,26.0
2020-10-29,24586.599609,28.000000000000004,24.0
2020-10-30,24107.419922,20.0,22.0
2020-11-02,24460.009766,30.0,22.0
2020-11-03,24939.730469,44.0,26.0
2020-11-04,24886.140625,40.0,28.000000000000004
2020-11-05,25695.919922,56.00000000000001,34.0
2020-11-06,25712.970703,60.0,36.0
2020-11-09,26016.169922,64.0,36.0
2020-11-10,26301.480469,82.0,50.0
2020-11-11,26226.980469,86.0,62.0
2020-11-12,26169.380859,84.0,56.00000000000001
2020-11-13,26156.859375,82.0,52.0
2020-11-16,26381.669922,82.0,54.0
2020-11-17,26415.089844,84.0,57.99999999999999
2020-11-18,26544.289063,82.0,57.99999999999999
2020-11-19,26356.970703,82.0,56.00000000000001
2020-11-20,26451.539063,80.0,54.0
2020-11-23,26486.199219,78.0,57.99999999999999
2020-11-24,26588.199219,82.0,57.99999999999999
2020-11-25,26669.75,78.0,62.0
2020-11-26,26819.449219,76.0,60.0
2020-11-27,26894.679688,76.0,66.0
2019-03-11,28503.300781,80.0,66.0
2019-03-12,28920.86914100001,90.0,72.0
2019-03-13,28807.449219,84.0,70.0
2019-03-14,28851.390625,86.0,70.0
2019-03-15,29012.25976600001,88.0,72.0
2019-03-18,29409.00976600001,92.0,78.0
2019-03-19,29466.279297000005,94.0,76.0
2019-03-20,29320.970702999995,92.0,74.0
2019-03-21,29071.560547000005,88.0,76.0
2019-03-22,29113.359375,82.0,78.0
2019-03-25,28523.349608999997,64.0,70.0
2019-03-26,28566.910156,66.0,68.0
2019-03-27,28728.25,70.0,70.0
2019-03-28,28775.210938,74.0,70.0
2019-03-29,29051.359375,76.0,74.0
2019-04-01,29562.019531,82.0,84.0
2019-04-02,29624.669922000005,84.0,84.0
2019-04-03,29986.390625,86.0,84.0
2019-04-04,29936.320313,86.0,84.0
2019-04-08,30077.15039100001,90.0,86.0
2019-04-09,30157.490233999997,88.0,88.0
2019-04-10,30119.560547000005,84.0,86.0
2019-04-11,29839.449219,82.0,84.0
2019-04-12,29909.75976600001,78.0,86.0
2019-04-15,29810.720702999995,76.0,82.0
2019-04-16,30129.86914100001,80.0,86.0
2019-04-17,30124.679688,80.0,84.0
2019-04-18,29963.25976600001,74.0,84.0
2019-04-23,29963.240233999997,68.0,80.0
2019-04-24,29805.830077999995,64.0,80.0
2019-04-25,29549.800781,64.0,78.0
2019-04-26,29605.00976600001,68.0,76.0
2019-04-29,29892.810547000005,74.0,82.0
2019-04-30,29699.109375,64.0,80.0
2019-05-02,29944.179688,64.0,80.0
2019-05-03,30081.550781,70.0,82.0
2019-05-06,29209.820313,38.0,74.0
2019-05-07,29363.019531,48.0,74.0
2019-05-08,29003.199219,34.0,70.0
2019-05-09,28311.070313,16.0,60.0
2019-05-10,28550.240234,26.0,64.0
2019-05-14,28122.019531,18.0,54.0
2019-05-15,28268.710938,18.0,57.99999999999999
2019-05-16,28275.070313,22.0,60.0
2019-05-17,27946.460938,18.0,54.0
2019-05-20,27787.609375,16.0,54.0
2019-05-21,27657.240234,16.0,54.0
2019-05-22,27705.939452999995,18.0,54.0
2019-05-23,27267.130858999997,14.000000000000002,46.0
2019-05-24,27353.929688,16.0,46.0
2019-05-27,27288.089844,18.0,44.0
2019-05-28,27390.810547000005,14.000000000000002,44.0
2019-05-29,27235.710938,16.0,44.0
2019-05-30,27114.880858999997,6.0,42.0
2019-05-31,26901.089844,8.0,40.0
2019-06-03,26893.859375,6.0,42.0
2019-06-04,26761.519531,6.0,42.0
2019-06-05,26895.439452999995,6.0,44.0
2019-06-06,26965.279297000005,8.0,44.0
2019-06-10,27578.640625,16.0,54.0
2019-06-11,27789.339844,24.0,56.00000000000001
2019-06-12,27308.460938,12.0,48.0
2019-06-13,27294.710938,12.0,48.0
2019-06-14,27118.349608999997,12.0,46.0
2019-06-17,27227.160156,16.0,50.0
2019-06-18,27498.769531,16.0,52.0
2019-06-19,28202.140625,30.0,60.0
2019-06-20,28550.429688,46.0,64.0
2019-06-21,28473.710938,48.0,62.0
2019-06-24,28513.0,48.0,62.0
2019-06-25,28185.980469,40.0,54.0
2019-06-26,28221.980469,38.0,54.0
2019-06-27,28621.419922000005,48.0,62.0
2019-06-28,28542.61914100001,44.0,62.0
2019-07-02,28875.560547000005,64.0,62.0
2019-07-03,28855.140625,66.0,62.0
2019-07-04,28795.769531,64.0,60.0
2019-07-05,28774.830077999995,62.0,60.0
2019-07-08,28331.689452999995,52.0,60.0
2019-07-09,28116.279297000005,38.0,54.0
2019-07-10,28204.689452999995,42.0,56.00000000000001
2019-07-11,28431.800781,62.0,56.00000000000001
2019-07-12,28471.619141000014,56.00000000000001,57.99999999999999
2019-07-15,28554.880859,57.99999999999999,57.99999999999999
2019-07-16,28619.619141000014,62.0,56.00000000000001
2019-07-17,28593.169922000005,64.0,56.00000000000001
2019-07-18,28461.660156,57.99999999999999,56.00000000000001
2019-07-19,28765.400391000014,66.0,57.99999999999999
2019-07-22,28371.259766000014,52.0,57.99999999999999
2019-07-23,28466.480469,57.99999999999999,56.00000000000001
2019-07-24,28524.039063,54.0,57.99999999999999
2019-07-25,28594.300781,56.00000000000001,57.99999999999999
2019-07-26,28397.740234,50.0,54.0
2019-07-29,28106.410156,44.0,54.0
2019-07-30,28146.5,48.0,52.0
2019-07-31,27777.75,38.0,46.0
2019-08-01,27565.699219,28.000000000000004,42.0
2019-08-02,26918.580077999995,14.000000000000002,34.0
2019-08-05,26151.320313,6.0,26.0
2019-08-06,25976.240234,6.0,22.0
2019-08-07,25997.029297,6.0,24.0
2019-08-08,26120.769531,10.0,26.0
2019-08-09,25939.300781,8.0,26.0
2019-08-12,25824.720703,6.0,28.000000000000004
2019-08-13,25281.300781,6.0,18.0
2019-08-14,25302.279297,6.0,16.0
2019-08-15,25495.460938,4.0,22.0
2019-08-16,25734.220703,8.0,22.0
2019-08-19,26291.839844,12.0,28.000000000000004
2019-08-20,26231.539063,12.0,26.0
2019-08-21,26270.039063,12.0,30.0
2019-08-22,26048.720703,12.0,26.0
2019-08-23,26179.330078,10.0,26.0
2019-08-26,25680.330078,10.0,24.0
2019-08-27,25664.070313,10.0,22.0
2019-08-28,25615.480469,8.0,24.0
2019-08-29,25703.5,8.0,26.0
2019-08-30,25724.730469,8.0,22.0
2019-09-02,25626.550781,10.0,20.0
2019-09-03,25527.849609,8.0,18.0
2019-09-04,26523.230469,18.0,26.0
2019-09-05,26515.529297,22.0,28.000000000000004
2019-09-06,26690.759766,28.000000000000004,30.0
2019-09-09,26681.400391,28.000000000000004,26.0
2019-09-10,26683.679688,26.0,26.0
2019-09-11,27159.060547000005,46.0,34.0
2019-09-12,27087.630859,52.0,34.0
2019-09-13,27352.689452999995,64.0,38.0
2019-09-16,27124.550781,56.00000000000001,36.0
2019-09-17,26790.240234,40.0,22.0
2019-09-18,26754.119141,38.0,24.0
2019-09-19,26468.949219,34.0,22.0
2019-09-20,26435.669922,32.0,18.0
2019-09-23,26222.400391,28.000000000000004,18.0
2019-09-24,26281.0,28.000000000000004,18.0
2019-09-25,25945.349609,22.0,16.0
2019-09-26,26041.929688,26.0,20.0
2019-09-27,25954.810547,20.0,20.0
2019-09-30,26092.269531,30.0,22.0
2019-10-02,26042.689453,32.0,22.0
2019-10-03,26110.310547,36.0,24.0
2019-10-04,25821.029297,26.0,16.0
2019-10-08,25893.400391,30.0,22.0
2019-10-09,25682.810547,30.0,20.0
2019-10-10,25707.929688,36.0,18.0
2019-10-11,26308.439453,57.99999999999999,26.0
2019-10-14,26521.849609,68.0,28.000000000000004
2019-10-15,26503.929688,66.0,26.0
2019-10-16,26664.279297,68.0,28.000000000000004
2019-10-17,26848.490234,76.0,30.0
2019-10-18,26719.580078,72.0,26.0
2019-10-21,26725.679688,72.0,30.0
2019-10-22,26786.199219,72.0,30.0
2019-10-23,26566.730469,62.0,22.0
2019-10-24,26797.949219,66.0,32.0
2019-10-25,26667.390625,68.0,34.0
2019-10-28,26891.25976600001,76.0,38.0
2019-10-29,26786.759766,74.0,38.0
2019-10-30,26667.710938,68.0,34.0
2019-10-31,26906.720702999995,70.0,38.0
2019-11-01,27100.75976600001,76.0,40.0
2019-11-04,27547.300781,82.0,42.0
2019-11-05,27683.40039100001,84.0,42.0
2019-11-06,27688.640625,86.0,42.0
2019-11-07,27847.230469,88.0,42.0
2019-11-08,27651.140625,82.0,42.0
2019-11-11,26926.550781,62.0,40.0
2019-11-12,27065.279297000005,57.99999999999999,40.0
2019-11-13,26571.460938,48.0,32.0
2019-11-14,26323.689453,40.0,32.0
2019-11-15,26326.660156,34.0,30.0
2019-11-18,26681.089844,48.0,36.0
2019-11-19,27093.800781,60.0,42.0
2019-11-20,26889.609375,54.0,36.0
2019-11-21,26466.880859,38.0,28.000000000000004
2019-11-22,26595.080078,44.0,34.0
2019-11-25,26993.039063,60.0,38.0
2019-11-26,26913.919922000005,64.0,38.0
2019-11-27,26954.0,64.0,40.0
2019-11-28,26893.730469,57.99999999999999,38.0
2019-11-29,26346.490234,32.0,24.0
2019-12-02,26444.720703,32.0,28.000000000000004
